Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
ASSAY OF PROSTATE SPECIFIC ANTIGEN TOTAL                                        ,$105.00 ,,
ASSAY OF PYRIDOXAL PHOSPHATE                                                    ,$120.00 ,,
ASSAY OF PYRUVATE                                                               ,$70.00 ,,
ASSAY OF RENIN                                                                  ,$178.00 ,,
ASSAY OF RIBOFLAVIN-VITAMIN B-2                                                 ,$79.00 ,,
ASSAY OF SELENIUM                                                               ,$122.00 ,,
ASSAY OF SEROTONIN                                                              ,$182.00 ,,
ASSAY OF SEX HORMONE BINDING GLOBULIN                                           ,$98.00 ,,
ASSAY OF SODIUM OTHER SOURCE                                                    ,$34.00 ,,
ASSAY OF SOMATOMEDIN                                                            ,$164.00 ,,
ASSAY OF SOMATOSTATIN                                                           ,$139.00 ,,
ASSAY OF TESTOSTERONE FREE                                                      ,$11.00 ,,
ASSAY OF TESTOSTERONE TOTAL                                                     ,$172.00 ,,
ASSAY OF THIAMINE-VITAMIN B-1                                                   ,$101.00 ,,
ASSAY OF THIOCYANATE                                                            ,$46.00 ,,
ASSAY OF THYROGLOBULIN                                                          ,$114.00 ,,
ASSAY OF THYROID STIMULATING HORMONE TSH                                        ,$146.00 ,,
ASSAY OF THYROXINE TOTAL                                                        ,$146.00 ,,
ASSAY OF TOCOPHEROL ALPHA VITAMIN E                                             ,$68.00 ,,
ASSAY OF TRANSCORTIN CORTISOL BINDING GLOBULIN                                  ,$55.00 ,,
ASSAY OF TRIGLYCERIDES                                                          ,$28.00 ,,
ASSAY OF TRIIODOTHYRONINE T3 FREE                                               ,$81.00 ,,
ASSAY OF TRIIODOTHYRONINE T3 TOTAL TT3                                          ,$146.00 ,,
ASSAY OF TROPONIN QUANTITATIVE                                                  ,$79.00 ,,
ASSAY OF UREA NITROGEN QUANTITATIVE                                             ,$35.00 ,,
ASSAY OF UREA NITROGEN URINE                                                    ,$27.00 ,,
ASSAY OF URIC ACID OTHER SOURCE                                                 ,$24.00 ,,
ASSAY OF URINE SODIUM                                                           ,$24.00 ,,
ASSAY OF VANILLYLMANDELIC ACID URINE                                            ,$30.00 ,,
ASSAY OF VASOACTIVE INTESTINAL PEPTIDE                                          ,$220.00 ,,
ASSAY OF VASOPRESSIN ANTI-DIURETIC HORMONE                                      ,$59.00 ,,
ASSAY OF VITAMIN A                                                              ,$69.00 ,,
ASSAY OF VITAMIN K                                                              ,$166.00 ,,
ASSAY OF VITAMIN NOT OTHERWISE SPECIFIED                                        ,$110.00 ,,
ASSAY OF ZINC                                                                   ,$63.00 ,,
ASSESSMENT APHASIA W/INTERP & REPORT PER HOUR                                   ,$501.00 ,,
ATEZOLIZUMAB INJECTION 10 MG,$0.00 ,Invoice-based charges,
"ATEZOLIZUMAB,10 MG WASTE",$0.00 ,Invoice-based charges,
AUDITORY EVOKED POTENTIALS COMPREHENSIVE                                        ,$498.00 ,,
AUTOL BLD/COMPONENT COLLJ STORAGE PREDEPOSITED                                  ,$876.00 ,,
AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL                                 ,$530.00 ,,
AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1                                   ,$530.00 ,,
AXICABTAGENE CILOLEUCEL CAR+            ,"$999,999.99 ",,
"AZATHIOPRINE,ORAL,50 MG",$0.00 ,Invoice-based charges,
"AZATHIOPRINE,PARENTERAL,100 MG",$0.00 ,Invoice-based charges,
B CELLS TOTAL COUNT                                                             ,$72.00 ,,
B12 INJ UP TO 1000 MCG,$0.00 ,Invoice-based charges,
"B12 INJ,UP TO 1000 MCG",$0.00 ,Invoice-based charges,
"B12 INJ,UP TO 1000 MCGT",$0.00 ,Invoice-based charges,
BACILLUS CALMETTE-GUERIN VACCINE INTRAVESICAL                                   ,$388.00 ,,
"BACLOFEN INTRATHECAL, 50 MCG",$0.00 ,Invoice-based charges,
BALLOON ANGIOPLASTY INTRACRANIAL PERCUTANEOUS                                   ,"$9,089.00 ",,
BALLOON DILAT BILIARY DUCT/AMPULLA PRQ EACH DUCT                                ,"$17,122.00 ",,
BALLOON DILAT INTRACRANIAL VASOSPASM PRQ INITIAL                                ,"$9,089.00 ",,
BALLOON DILAT URETERAL STRICTURE W/IMG GID RS&I                                 ,"$6,655.00 ",,
BALLOON SURGICAL SUPPLIES,$0.00 ,Invoice-based charges,
BASIC METABOLIC PANEL CALCIUM IONIZED                                           ,$400.00 ,,
BASIC RADIATION DOSIMETRY CALCULATION                                           ,$473.00 ,,
"BASILIXIMAB (SIMULECT),20MG",$0.00 ,Invoice-based charges,
BATTERY CLIPS FOR USE WITH ELECTRIC OR ELECTRIC/PNEUMAT                         ,"$2,200.00 ",,
"BATTERY, LITHIUM-ION, FOR USE WITH ELECTRIC OR ELECTRIC                         ","$5,000.00 ",,
"BATTERY, OTHER THAN LITHIUM-ION, FOR USE WITH ELECTRIC                          ",$975.00 ,,
BATTERY/POWER PACK CHARGER FOR USE WITH ELECTRIC OR ELE                         ,"$14,400.00 ",,
BCG (INTRAVESICAL) PER INSTILLATION                                             ,$388.00 ,,
BCKDHB GENE ANALYSIS COMMON VARIANTS                                            ,$401.00 ,,
BCR/ABL1 MAJOR BREAKPNT QUALITATIVE/QUANTITATIVE                                ,$203.00 ,,
BCR/ABL1 MINOR BREAKPNT QUALITATIVE/QUANTITATIVE                                ,$144.00 ,,
BECLOMETHASONE INHALTN SOL 1MG,$0.00 ,Invoice-based charges,
"BEDSIDE DRAINAGE BAG, DAY OR NIGHT, WITH OR WITHOUT ANT                         ",$16.00 ,,
BEHAV ASSMT W/SCORE & DOCD/STAND INSTRUMENT                                     ,$116.00 ,,
BEHAVIORAL & QUALIT ANALYSIS VOICE AND RESONANCE                                ,$535.00 ,,
BELIMUMAB INJECTION 10MG,$0.00 ,Invoice-based charges,
BELT/VEST/BAG FOR USE TO CARRY EXTERNAL PERIPHERAL COMP                         ,$850.00 ,,
BENDAMUSTINE INJECTION 1 MG,$0.00 ,Invoice-based charges,
BENRALIZUMAB INJECTION,$0.00 ,Invoice-based charges,
BETA 2 GLYCOPROTEIN I ANTIBODY EACH                                             ,$79.00 ,,
BETA-2 MICROGLOBULIN                                                            ,$173.00 ,,
"BETADINE OR PHISOHEX SOLUTION, PER PINT                                         ",$8.00 ,,
BETAMETHASONE INHALTN SOL 1MG,$0.00 ,Invoice-based charges,
"BETAMETHASONE INJ,PER 3 MG",$0.00 ,Invoice-based charges,
BILIARY ENDO PRQ T-TUBE DX W/COLLECT SPEC BRUSH                                 ,$948.00 ,,
BILIARY ENDOSCOPY PRQ VIA T-TUBE W/RMVL CALCULUS                                ,"$1,310.00 ",,
BILIARY NDSC PRQ T-TUBE DILAT STRIX W/STENT                                     ,"$1,540.00 ",,
BILIARY NDSC PRQ T-TUBE W/BX SINGLE/MULTIPLE                                    ,"$1,338.00 ",,
BILIARY NDSC PRQ T-TUBE W/DIL DUCT W/O STENT                                    ,"$1,662.00 ",,
BILIRUBIN DIRECT                                                                ,$44.00 ,,
BILIRUBIN TOTAL                                                                 ,$55.00 ,,
BINOCULAR MICROSCOPY SEPARATE DX PROCEDURE                                      ,"$1,817.00 ",,
BIOFDBK TRNG PERINL MUSC ANORECT/URO SPHX W/EMG                                 ,$616.00 ,,
BIOFEEDBACK TRAINING ANY MODALITY                                               ,$120.00 ,,
BIOPSY BONE TROCAR/NEEDLE DEEP                                                  ,$634.00 ,,
BIOPSY BONE TROCAR/NEEDLE SUPERFICIAL                                           ,"$1,927.00 ",,
BIOPSY BREAST OPEN INCISIONAL                                                   ,$832.00 ,,
BIOPSY CERVIX SINGLE/MULT/EXCISION OF LESION SPX                                ,$702.00 ,,
BIOPSY CONJUNCTIVA                                                              ,"$1,071.00 ",,
BIOPSY EXTERNAL AUDITORY CANAL                                                  ,"$2,358.00 ",,
BIOPSY EXTERNAL EAR                                                             ,"$1,235.00 ",,
BIOPSY FLOOR MOUTH                                                              ,"$2,358.00 ",,
BIOPSY INTRANASAL                                                               ,"$2,358.00 ",,
BIOPSY LIVER NEEDLE PERCUTANEOUS                                                ,$764.00 ,,
BIOPSY LUNG/MEDIASTINUM PERCUTANEOUS NEEDLE                                     ,$486.00 ,,
BIOPSY MUSCLE PERCUTANEOUS NEEDLE                                               ,"$2,358.00 ",,
BIOPSY NAIL UNIT SEPARATE PROCEDURE                                             ,$937.00 ,,
BIOPSY OF LIP                                                                   ,"$1,235.00 ",,
BIOPSY OROPHARYNX                                                               ,"$3,114.00 ",,
BIOPSY PALATE UVULA                                                             ,"$2,358.00 ",,
BIOPSY PANCREA PERCUTANEOUS NEEDLE                                              ,$486.00 ,,
BIOPSY PENIS SEPARATE PROCEDURE                                                 ,"$2,358.00 ",,
BIOPSY PLEURA PERCUTANEOUS NEEDLE                                               ,$803.00 ,,
BIOPSY SALIVARY GLAND NEEDLE                                                    ,"$2,358.00 ",,
BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN                                  ,$288.00 ,,
BIOPSY SOFT TISSUE NECK/THORAX                                                  ,"$1,845.00 ",,
BIOPSY THYROID PERCUTANEOUS CORE NEEDLE                                         ,"$1,235.00 ",,
BIOPSY TONGUE ANTERIOR TWO-THIRDS                                               ,"$2,358.00 ",,
BIOPSY VAGINAL MUCOSA EXTENSIVE                                                 ,"$4,856.00 ",,
BIOPSY VAGINAL MUCOSA SIMPLE                                                    ,"$2,358.00 ",,
BIOPSY VERTEBRAL BODY OPEN LUMBAR/CERVICAL                                      ,"$1,322.00 ",,
BIOPSY VERTEBRAL BODY OPEN THORACIC                                             ,"$1,322.00 ",,
BIOPSY VESTIBULE MOUTH                                                          ,"$1,235.00 ",,
BIOPSY VULVA/PERINEUM 1 LESION SPX                                              ,"$3,362.00 ",,
BIOPSY VULVA/PERINEUM EACH ADDL LESION                                          ,"$3,362.00 ",,
BIVALIRUDIN 1 MG INJ,$0.00 ,Invoice-based charges,
BL BLD PRESS W/TAPE&/DISK 24/> HR REC ONL                                       ,$82.00 ,,
BLADDER INSTILLATION ANTICARCINOGENIC AGENT                                     ,"$1,111.00 ",,
BLADDER PRESSURE MEASUREMENT DURING FILLING                                     ,"$1,053.00 ",,
BLD-DRV HEMATOP PROGEN CELL HRVG TRNSPLJ ALGNC                                  ,"$1,520.00 ",,
BLD-DRV HEMATOP PROGEN CELL HRVG TRNSPLJ AUTOL                                  ,"$2,181.00 ",,
BLDR IRRIGATION SMPL LAVAGE &/INSTLJ                                            ,$984.00 ,,
BLEEDING TIME TEST                                                              ,$39.00 ,,
"BLEOMYCIN SULFATE, 15 UNITS",$0.00 ,Invoice-based charges,
BLEPHAROTOMY DRAINAGE ABSCESS EYELID                                            ,"$1,839.00 ",,
BLM GENE ANALYSIS 2281DEL6INS7 VARIANT                                          ,$240.00 ,,
BLOOD COUNT COMPLETE AUTO&AUTO DIFRNTL WBC                                      ,$74.00 ,,
BLOOD COUNT COMPLETE AUTOMATED                                                  ,$67.00 ,,
BLOOD COUNT HEMATOCRIT                                                          ,$40.00 ,,
BLOOD COUNT HEMOGLOBIN                                                          ,$51.00 ,,
BLOOD COUNT LEUKOCYTE WBC AUTOMATED                                             ,$27.00 ,,
BLOOD COUNT PLATELET AUTOMATED                                                  ,$39.00 ,,
BLOOD COUNT RED BLOOD CELL AUTOMATED                                            ,$25.00 ,,
BLOOD COUNT RETICULOCYTE AUTOMATED                                              ,$57.00 ,,
BLOOD COUNT RETICULOCYTE AUTOMATED                                              ,$35.00 ,,
BLOOD COUNT SMEAR MCRSCP W/MNL DIFRNTL WBC COUNT                                ,$49.00 ,,
BLOOD COUNT SPUN MICROHEMATOCRIT                                                ,$33.00 ,,
BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HCO3                                ,$162.00 ,,
BLOOD OCCULT FECAL HGB DETER IA QUAL FECES 1-3                                  ,$144.00 ,,
BLOOD OCCULT PEROXIDASE ACTV QUAL FECES 1 DETER                                 ,$31.00 ,,
BLOOD OCCULT PEROXIDASE ACTV QUAL FECES 1-3 SPEC                                ,$31.00 ,,
BLOOD OCCULT PEROXIDASE ACTV QUAL OTHER SOURCES                                 ,$32.00 ,,
BLOOD TYPE ANTIGEN DONOR REAGENT SERUM EACH                                     ,$698.00 ,,
BLOOD TYPING ANTIGEN SCREEN PATIENT SERUM/UNIT                                  ,$213.00 ,,
BLOOD TYPING RBC ANTIGENS OTH/THN ABO/RH D EACH                                 ,$95.00 ,,
BLOOD TYPING SEROLOGIC ABO                                                      ,$104.00 ,,
BLOOD TYPING SEROLOGIC RH (D)                                                   ,$104.00 ,,
BLOOD TYPING SEROLOGIC RH PHENOTYPING COMPLETE                                  ,$305.00 ,,
"BLOOD, SPLIT UNIT                                                               ",$129.00 ,,
